amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age
40.96,6,Food,0,1,82,2,51
57.07,6,Electronics,0,0,42,2,18
44.24,0,Grocery,0,0,26,2,25
396.8,23,Clothing,0,0,97,1,34
20.13,0,Food,0,0,91,1,28
129.82,4,Clothing,0,0,82,0,40
152.2,8,Travel,0,0,65,2,30
293.74,22,Travel,0,0,35,1,54
86.02,7,Electronics,0,0,99,2,45
335.42,16,Clothing,0,0,76,2,39
51.05,14,Clothing,0,0,60,3,59
315.12,17,Food,0,0,78,1,46
123.44,6,Clothing,0,0,55,2,65
364.63,23,Travel,0,0,82,4,44
10.47,11,Travel,0,0,75,3,43
315.34,10,Electronics,0,0,58,2,25
98.95,11,Clothing,0,0,80,0,24
474.99,10,Grocery,1,0,49,4,36
143.5,14,Clothing,0,0,68,3,51
14.06,12,Electronics,0,0,57,1,18
295.27,19,Electronics,0,0,97,6,63
465.41,16,Grocery,0,0,32,1,61
165.17,7,Food,0,0,88,4,37
0.16,1,Grocery,0,0,77,2,30
105.27,21,Clothing,0,0,63,1,36
234.68,7,Grocery,0,0,69,2,36
136.79,7,Electronics,0,0,26,1,66
129.42,3,Clothing,0,0,93,3,49
29.62,4,Grocery,0,0,57,1,62
21.5,5,Grocery,0,0,74,3,68
526.0,23,Clothing,0,0,91,1,27
80.61,6,Electronics,0,0,41,3,48
295.08,18,Travel,0,0,89,1,65
39.33,18,Food,0,0,54,2,43
155.78,16,Travel,0,0,46,4,18
52.36,14,Clothing,1,0,63,2,29
191.05,22,Grocery,0,1,30,4,60
98.73,9,Clothing,0,0,40,3,25
7.94,14,Clothing,0,0,84,2,59
108.69,21,Electronics,0,0,69,1,48
17.12,4,Grocery,0,0,41,3,48
132.32,9,Travel,0,0,63,0,46
90.4,15,Food,0,0,67,3,21
29.82,7,Food,0,0,30,5,43
31.53,17,Food,0,0,87,2,52
32.88,3,Travel,0,0,83,5,37
171.33,22,Travel,0,0,50,1,53
195.97,11,Clothing,1,0,81,0,26
228.14,6,Electronics,1,0,48,2,42
93.78,8,Food,0,0,94,0,45
198.43,14,Grocery,1,0,88,0,50
138.55,4,Travel,0,0,31,2,22
207.38,9,Food,0,0,28,1,53
0.94,6,Travel,0,0,82,1,18
59.77,12,Travel,1,0,92,1,45
230.47,11,Electronics,0,0,89,1,41
469.14,14,Grocery,1,0,31,4,58
10.84,22,Food,0,0,90,2,40
121.86,9,Travel,0,0,31,1,36
393.59,18,Food,0,0,45,2,46
115.86,11,Food,1,0,57,2,42
61.65,23,Clothing,0,0,33,0,60
67.88,6,Travel,0,0,30,3,50
69.09,16,Electronics,0,0,52,2,40
510.29,6,Grocery,0,1,80,3,67
